nombre,año_inicio,id_genero,id_pais
Echoes of Gloom,2025,1.0,1.0
Zorza,2023,2.0,2.0
Forgotten winter,2024,3.0,3.0
Ortha,2024,1.0,4.0
Forevercold,2024,2.0,5.0
Путь,2020,1.0,4.0
Schattenfang,2010,1.0,6.0
Svrm,2015,1.0,7.0
Granitader,2024,4.0,6.0
PAN,2024,1.0,8.0
Olde throne,?,5.0,9.0
Chaos luciferi,2024,2.0,10.0
Ignis Gehennalis,2023,2.0,11.0
Epiphanie,2024,2.0,6.0
A Somber Funeral,2024,2.0,6.0
Unelmia,2024,2.0,2.0
Zirocco,2020,,12.0
Upon Stone,2021,6.0,13.0
Egribor,2023,1.0,4.0
Summoning,1993,7.0,14.0
Universe,1982,8.0,15.0
Virtue,1983,8.0,16.0
Stormwitch,1981,9.0,6.0
Medieval steel,1982,9.0,13.0
Faidra,2019,10.0,15.0
Gorgoroth,1992,2.0,17.0
Рожь,2012,11.0,4.0
Alles Wird in Flammen Stehen,2020,10.0,4.0
Tsjuder,1993,2.0,17.0
Kanonenfieber,2020,12.0,6.0
Dissection,1989,6.0,15.0
Aara,2018,10.0,18.0
Windir,1994,12.0,17.0
Ellende,2011,13.0,14.0
Numenorean,2011,13.0,19.0
Testament,1987,14.0,13.0
Be’lakor,2004,15.0,1.0
Dark tranquility,1991,15.0,15.0
Judas priest,1970,8.0,16.0
Volbeat,2001,8.0,20.0
Cisza,2017,13.0,2.0
Insomnium,1997,15.0,21.0
Iron maiden,1975,8.0,16.0
Tenacious D,1994,16.0,13.0
Solstafir,1995,17.0,22.0
Korn,1993,18.0,13.0
Veil,?,19.0,23.0
Skyforest,2013,10.0,4.0
Saor,2013,10.0,16.0
Shadow fall,2013,9.0,19.0
Machine head,1991,8.0,13.0
Praying mantis,1977,8.0,16.0
Rotting christ,1987,12.0,24.0
Motörhead,1975,8.0,16.0
Black label society,1998,20.0,13.0
Zakk wylde,1995,20.0,13.0
Bruce dickinson,1989,8.0,16.0
Paradise lost,1988,21.0,16.0
Oomph!,1989,22.0,6.0
Marilyn manson,1989,22.0,13.0
Pantera,1981,23.0,13.0
Lindemann,2015,22.0,6.0
Lamb of god,1999,24.0,13.0
Down,1991,20.0,13.0
Exodus,1979,14.0,13.0
White zombie,1985,22.0,13.0
Kreator,1984,14.0,6.0
Fear factory,1990,22.0,13.0
Dio,1982,8.0,13.0
Rainbow,1975,8.0,16.0
Danzig,1987,8.0,13.0
Overkill,1980,14.0,13.0
Anvil,1981,9.0,19.0
Ratt,1978,8.0,13.0
Accept,1976,8.0,6.0
 W.A.S.P.,1982,8.0,13.0
Manowar,1980,8.0,13.0
Dokken,1977,8.0,13.0
Helloween,1983,25.0,6.0
Queensrÿche,1982,9.0,13.0
King diamond,1985,8.0,20.0
UFO,1968,8.0,16.0
Mercyful fate,1981,8.0,20.0
Celtic frost,1984,15.0,18.0
Possessed,1983,15.0,13.0
Angel witch,1978,8.0,16.0
Metal church,1980,14.0,13.0
Exciter,1980,25.0,25.0
Hellhammer,1982,2.0,18.0
Dark angel,1983,14.0,13.0
Venom,1979,8.0,16.0
Diamond head,1976,8.0,26.0
Nuclear assault,1984,14.0,13.0
