id_genero,nombre
1,Atmospheric Black Metal
2,Black metal
3, Atmospheric Black Metal
4,Melodic/Atmospheric Black Metal
5,Atmospheric Black metal
6,Melodic death metal
7,Epic black metal
8,Heavy metal
9,Power metal
10,Atmospheric black metal
11,Ambient black metal
12,Melodic black metal
13,Post-black metal
14,Trash metal
15,Death metal
16,Hard rock
17,Post metal
18,Nu metal
19,?
20,Southern metal
21,Doom metal
22,Industrial metal
23,Groove metal
24,Metalcore
25,Speed metal
26,Epic doom metal
27,Progresive metal
28,Folk metal
29,Symphonic black metal
30,Symphonic metal
31,Death metal progresivo
32,Death metal melodico
33,Metal progresivo
34,Heavy metal(melodico)
35,Metal pesado
